Date,Total Pos, Total Long,Total Short,Dollar PnL,Cumulative PnL,Total Market Value,Net Market Value 
20060808,137800,294900,116200,26123,6.58814e+09,1.17697e+09,6.26642e+06
20060809,134500,292500,115800,-34501,6.58348e+09,1.04551e+09,6.23707e+06
20060810,150200,274300,123200,19814,6.58676e+09,1.23699e+09,6.54731e+06
20060811,141100,257800,137400,-58565,6.57339e+09,1.19579e+09,6.24092e+06
20060814,120100,230500,156600,-37893,6.5718e+09,8.29729e+08,5.2284e+06
20060815,95700,227100,150300,43438,6.57847e+09,7.19608e+08,4.13275e+06
20060816,127700,246700,141900,9293,6.58511e+09,1.07029e+09,4.90478e+06
20060817,168000,266100,124400,-15181,6.57958e+09,1.42011e+09,6.10851e+06
20060818,222800,303300,93800,7957,6.58072e+09,1.8109e+09,7.64619e+06
20060821,244600,321200,76800,-46114,6.57396e+09,2.00719e+09,8.49294e+06
20060822,275900,338100,65900,29770,6.57724e+09,2.35101e+09,9.68318e+06
20060823,285200,342200,64900,-53898,6.56825e+09,2.34968e+09,1.00173e+07
20060824,288700,334000,62800,-12121,6.56862e+09,2.44033e+09,1.01067e+07
20060825,277400,296200,76300,-3033,6.56683e+09,2.415e+09,9.86302e+06
20060828,285800,290300,72300,107263,6.5865e+09,2.46706e+09,1.03009e+07
20060829,279100,281000,71200,63230,6.59563e+09,2.38904e+09,1.00954e+07
20060830,289900,277300,65500,49001,6.60397e+09,2.45285e+09,1.03941e+07
20060831,313700,297600,69400,34136,6.61163e+09,2.68042e+09,1.10894e+07
20060901,327800,326000,63000,23072,6.61439e+09,2.94262e+09,1.17156e+07
20060905,332900,335300,52900,15931,6.61933e+09,3.01179e+09,1.19897e+07
20060906,335500,337900,52600,-99148,6.60001e+09,2.99084e+09,1.18888e+07
20060907,333400,320400,50300,-65352,6.58376e+09,2.96785e+09,1.18451e+07
20060908,302800,290400,69700,144194,6.61261e+09,2.75553e+09,1.10425e+07
20060911,271900,256800,102400,86217,6.62786e+09,2.54383e+09,1.02394e+07
20060912,264800,242600,104700,113025,6.65289e+09,2.54513e+09,1.01152e+07
20060913,263500,261200,117800,-2097,6.6542e+09,2.51332e+09,1.04021e+07
20060914,257000,281100,111000,19567,6.65694e+09,2.38075e+09,1.00482e+07
20060915,276000,300100,93900,77764,6.67266e+09,2.48836e+09,1.11023e+07
20060918,298200,318200,95400,-68253,6.66058e+09,2.66247e+09,1.17623e+07
20060919,303800,319500,90700,18242,6.66234e+09,2.68991e+09,1.20125e+07
20060920,283200,316100,97100,136920,6.68907e+09,2.45369e+09,1.17396e+07
20060921,280400,311000,99500,-116980,6.66598e+09,2.39592e+09,1.13763e+07
20060922,267000,298100,104500,-16013,6.66386e+09,2.25255e+09,1.08568e+07
20060925,260400,282800,104600,135119,6.69132e+09,2.20885e+09,1.07682e+07
20060926,265500,291700,102500,24148,6.69497e+09,2.19829e+09,1.08573e+07
20060927,262900,296200,100100,-58195,6.68732e+09,2.10428e+09,1.08023e+07
20060928,283000,311900,91500,24343,6.69479e+09,2.34876e+09,1.16415e+07
20060929,293100,325400,73300,-80193,6.68254e+09,2.3335e+09,1.21469e+07
20061002,311200,325800,68300,-46895,6.67298e+09,2.47297e+09,1.30214e+07
20061003,306600,316100,76100,132128,6.69563e+09,2.51943e+09,1.28873e+07
20061004,321400,317100,75600,206734,6.7353e+09,2.69147e+09,1.36881e+07
20061005,312300,307600,71700,44814,6.74353e+09,2.68232e+09,1.34525e+07
20061006,305100,306200,74800,-33910,6.73591e+09,2.63991e+09,1.34545e+07
20061009,307200,321700,72000,47782,6.7454e+09,2.67882e+09,1.34552e+07
20061010,316400,330700,63500,22325,6.74762e+09,2.7766e+09,1.3936e+07
20061011,330800,334600,56800,-42434,6.73692e+09,2.87641e+09,1.4565e+07
20061012,339900,337000,52300,160597,6.76683e+09,2.99339e+09,1.49842e+07
20061013,351700,346100,55700,38878,6.77175e+09,3.05742e+09,1.53481e+07
20061016,373200,357200,52200,89433,6.78475e+09,3.27533e+09,1.60107e+07
20061017,376000,354100,54300,-84034,6.77177e+09,3.27454e+09,1.62281e+07
20061018,382700,350600,47900,5810,6.77232e+09,3.38772e+09,1.63447e+07
20061019,371300,355400,55200,39183,6.78296e+09,3.28706e+09,1.61087e+07
20061020,351400,345600,70000,-43046,6.77527e+09,3.12898e+09,1.5686e+07
20061023,336500,341900,79800,121842,6.79463e+09,2.93163e+09,1.5449e+07
20061024,332600,328600,75000,34405,6.79892e+09,2.94077e+09,1.52548e+07
20061025,329300,326400,79200,54660,6.81058e+09,2.91145e+09,1.51267e+07
20061026,313200,329600,77800,99488,6.83076e+09,2.87122e+09,1.46983e+07
20061027,309600,326200,73600,-149886,6.80728e+09,2.77953e+09,1.44083e+07
20061030,309300,306800,74800,44423,6.81511e+09,2.70844e+09,1.40854e+07
20061031,295300,291500,80200,5454,6.81632e+09,2.55819e+09,1.33508e+07
20061101,279500,274200,89900,-94313,6.79939e+09,2.45365e+09,1.2495e+07
20061102,246900,240200,106600,-10992,6.79691e+09,2.21908e+09,1.09917e+07
20061103,217900,220100,128900,21972,6.79983e+09,1.93798e+09,1.00343e+07
20061106,193500,203300,141700,139755,6.82411e+09,1.7565e+09,9.00726e+06
20061107,180000,192800,145800,-3251,6.82159e+09,1.61291e+09,8.33031e+06
20061108,169200,197400,145000,71738,6.83353e+09,1.48704e+09,7.97686e+06
20061109,167000,200700,148700,26014,6.83701e+09,1.48822e+09,7.69822e+06
20061110,168300,210400,131500,-2842,6.83673e+09,1.47879e+09,7.80512e+06
20061113,166000,214000,124800,23701,6.8394e+09,1.47341e+09,7.76285e+06
20061114,172700,223100,112400,4678,6.83998e+09,1.54624e+09,7.88643e+06
20061115,201000,240900,92100,26933,6.84415e+09,1.73511e+09,8.82764e+06
20061116,242600,271700,70900,4658,6.84391e+09,2.14809e+09,9.92712e+06
20061117,270000,292400,58900,19943,6.85195e+09,2.40371e+09,1.10717e+07
20061120,282800,303800,52800,-176,6.85253e+09,2.56075e+09,1.14755e+07
20061121,302200,316200,49100,74842,6.86778e+09,2.77272e+09,1.24718e+07
20061122,325200,325900,46900,51190,6.87648e+09,2.98549e+09,1.33897e+07
20061124,341700,323200,46000,-26020,6.87153e+09,3.11684e+09,1.41772e+07
20061127,337900,307000,48800,-265593,6.82157e+09,3.06582e+09,1.37955e+07
20061128,318900,284900,60800,20107,6.82066e+09,2.98662e+09,1.35423e+07
20061129,294800,267400,72700,143841,6.84728e+09,2.8907e+09,1.28613e+07
20061130,273000,239100,83300,56329,6.85733e+09,2.78464e+09,1.22243e+07
20061201,225900,214300,110400,-42291,6.84784e+09,2.29232e+09,1.04944e+07
20061204,219500,218800,112500,84617,6.8642e+09,2.13746e+09,1.05123e+07
20061205,222000,225600,102100,62905,6.87558e+09,2.18806e+09,1.09451e+07
20061206,231600,240200,98000,-14265,6.87484e+09,2.24811e+09,1.13198e+07
20061207,224300,239500,91500,-52444,6.86417e+09,2.21005e+09,1.12298e+07
20061208,222100,243400,80400,6693,6.86605e+09,2.28115e+09,1.12467e+07
20061211,215400,239400,78100,11619,6.86793e+09,2.24268e+09,1.09746e+07
20061212,200500,229800,84800,-39975,6.85934e+09,2.07282e+09,1.03742e+07
20061213,198600,225500,96600,-1655,6.85652e+09,2.01281e+09,1.01846e+07
20061214,205800,231000,92300,67499,6.86988e+09,2.039e+09,1.02845e+07
20061215,201100,223400,89700,-22477,6.86567e+09,1.95281e+09,1.0022e+07
20061218,197200,217400,92600,-48567,6.85625e+09,1.91874e+09,9.6076e+06
20061219,199100,223600,101300,70759,6.86705e+09,1.82849e+09,9.4017e+06
20061220,191100,218700,101500,24667,6.87409e+09,1.6854e+09,9.04142e+06
20061221,155800,212500,124600,-11473,6.87365e+09,1.38695e+09,7.11981e+06
20061222,126400,198700,143600,16064,6.87454e+09,1.04954e+09,5.56946e+06
20061226,101400,188600,161600,44357,6.88318e+09,8.6879e+08,4.61863e+06
20061227,92900,187800,166300,18418,6.88676e+09,8.96373e+08,4.41982e+06
20061228,87900,183000,170100,-9918,6.88515e+09,8.18525e+08,4.15821e+06
20061229,88000,171200,163600,-30908,6.87852e+09,8.51583e+08,3.93433e+06
20070103,94700,161600,156100,46152,6.88478e+09,9.01656e+08,4.12117e+06
20070104,95100,153100,143700,-10188,6.88327e+09,9.18234e+08,4.21509e+06
20070105,93400,138500,142200,-66078,6.87179e+09,8.41179e+08,3.96943e+06
20070108,76900,136300,143700,39407,6.87905e+09,7.84665e+08,3.54456e+06
20070109,52600,139800,150800,41763,6.88646e+09,4.81137e+08,2.58245e+06
20070110,59400,148500,153600,45314,6.89686e+09,5.42117e+08,2.51692e+06
20070111,58600,159100,150100,38755,6.90288e+09,5.27798e+08,2.79993e+06
20070112,89900,180400,137900,-34052,6.89773e+09,8.50096e+08,3.94954e+06
20070116,106800,198000,132500,51239,6.90443e+09,1.06826e+09,4.93222e+06
20070117,128200,220600,116500,-24369,6.89847e+09,1.23002e+09,5.86426e+06
20070118,144700,227500,101800,-47127,6.88773e+09,1.34883e+09,6.64321e+06
20070119,156800,231400,99900,-20941,6.88434e+09,1.47205e+09,7.03937e+06
20070122,153800,221900,111400,-38884,6.87674e+09,1.44648e+09,7.00847e+06
20070123,146300,213900,111300,27442,6.88401e+09,1.33702e+09,7.38819e+06
20070124,164600,224400,115300,68732,6.89709e+09,1.49864e+09,8.4089e+06
20070125,163500,218500,112500,-128787,6.87709e+09,1.5283e+09,8.63258e+06
20070126,123700,212100,129500,14439,6.87848e+09,1.094e+09,7.44963e+06
20070129,128200,207800,129100,12952,6.88244e+09,1.17227e+09,7.69002e+06
20070130,122700,203400,128500,49913,6.8944e+09,1.14557e+09,7.51929e+06
20070131,130100,202800,130300,107509,6.91322e+09,1.27835e+09,7.77244e+06
20070201,163100,220500,106500,55752,6.92533e+09,1.57202e+09,8.89966e+06
20070202,183200,236700,89600,21393,6.92962e+09,1.70506e+09,9.83858e+06
20070205,196600,254600,91100,-2848,6.92839e+09,1.97229e+09,1.06357e+07
20070206,219400,278300,84300,39028,6.93338e+09,2.12226e+09,1.15826e+07
20070207,244300,292500,83300,32737,6.93747e+09,2.45635e+09,1.27258e+07
20070208,262900,302300,75800,-15707,6.935e+09,2.70948e+09,1.32066e+07
20070209,251000,302600,77800,-83973,6.92234e+09,2.49142e+09,1.27343e+07
20070212,245600,293000,80600,-65661,6.90994e+09,2.38219e+09,1.23401e+07
20070213,250600,291000,83500,113723,6.92976e+09,2.37872e+09,1.24053e+07
20070214,257700,292500,85600,92149,6.94779e+09,2.47228e+09,1.26493e+07
20070215,271400,289600,83100,40341,6.95564e+09,2.56337e+09,1.29202e+07
20070216,276500,280900,73300,22194,6.95862e+09,2.63241e+09,1.31854e+07
20070220,280900,290000,71000,89859,6.9759e+09,2.7292e+09,1.34693e+07
